ARC,GDOT
1416,203
1417,203
1418,203
1419,203
1420,204
1421,204
1422,200
1423,200
1424,200
1425,200
1426,204
1427,204
1428,201
1429,201
1430,201
1431,201
1432,201
1433,207
1434,207
1435,207
1436,207
1437,208
1438,208
1439,74
1440,74
1441,74
1442,74
1443,71
1444,71
1445,72
1446,72
1447,72
1448,72
1449,72
1450,72
1451,76
1452,76
1453,77
1454,77
1455,75
1456,75
1457,75
1458,75
1459,73
1460,73
1461,73
1462,75
1463,75
1464,74
1465,74
1466,110
1467,110
1468,108
1469,108
1470,109
1471,109
1472,109
1473,109
1474,109
1475,109
1476,109
1477,109
1478,109
1479,111
1480,111
1481,111
1482,111
1483,111
1484,111
1485,111
1486,111
1487,111
1488,111
1489,111
1490,109
1491,109
1492,109
1493,108
1494,108
1495,108
1496,108
1497,108
1498,108
1499,112
1500,112
1501,112
1502,112
1503,107
1504,107
1505,107
1506,107
1507,105
1508,105
1509,105
1510,106
1511,106
1512,106
1513,106
1514,107
1515,107
1516,107
1517,107
1518,107
1519,107
1520,107
1521,105
1522,105
1523,105
1524,107
1525,107
1526,107
1527,107
1528,107
1529,107
1530,107
1531,107
1532,107
1533,107
1534,107
1535,107
1536,107
1537,107
1538,107
1539,107
1540,106
1541,106
1542,106
1543,106
1544,106
1545,106
1546,106
1547,106
1548,106
1549,106
1550,106
1551,106
1552,106
1553,106
1554,106
1555,106
1556,210
1557,210
1558,209
1559,211
1560,211
1561,211
1562,211
1563,212
1564,212
1565,212
1566,212
1567,212
1568,213
1569,213
1571,213
1573,213
1574,214
1575,214
1576,214
1577,214
1578,214
1579,215
1580,215
1581,217
1582,217
1583,217
1584,218
1585,218
1586,218
1587,219
1588,219
1589,219
1590,222
1591,220
1592,113
1593,113
1594,113
1595,114
1596,114
1597,115
1598,115
1599,115
1600,115
1601,115
1602,115
1603,116
1604,116
1605,116
1606,116
1607,116
1608,117
1609,117
1610,117
1611,118
1612,118
1613,118
1614,119
1615,120
1616,120
1617,120
1618,120
1619,79
1620,79
1621,79
1622,80
1623,78
1624,78
1625,78
1626,78
1627,78
1628,78
1629,81
1630,241
1631,81
1632,81
1633,81
1634,81
1635,84
1636,83
1637,87
1638,87
1639,87
1640,87
1641,87
1642,88
1643,88
1644,88
1645,88
1646,12
1647,15
1648,15
1649,15
1650,15
1651,15
1652,18
1653,18
1654,18
1655,14
1656,14
1657,14
1658,12
1659,12
1660,15
1661,15
1662,15
1663,27
1664,29
1665,27
1666,27
1667,23
1668,18
1669,25
1670,25
1671,25
1672,23
1673,23
1674,69
1675,69
1676,69
1677,69
1678,69
1679,69
1680,60
1681,59
1682,60
1683,61
1684,91
1685,92
1686,91
1687,90
1688,91
1689,91
1690,92
1691,92
1692,92
1693,95
1694,95
1695,93
1696,95
1697,93
1698,94
1699,96
1700,96
1701,96
1702,96
1703,97
1704,97
1705,97
1706,97
1707,97
1708,97
1709,98
1710,98
1711,99
1712,99
1713,99
1714,100
1715,100
1716,100
1717,89
1718,89
1719,89
1720,101
1721,101
1722,101
1723,101
1724,102
1725,102
1726,102
1727,103
1728,104
1729,104
1730,226
1731,226
1732,225
1733,225
1734,224
1735,226
1736,226
1737,225
1738,229
1739,228
1740,228
1741,227
1742,226
1743,226
1744,225
1745,224
1746,225
1747,228
1748,230
1749,233
1750,231
1751,232
1752,232
1753,233
1754,233
1755,230
1756,223
1757,223
1758,223
1759,223
1760,223
1761,223
1762,230
1763,231
1764,238
1765,238
1766,237
1767,231
1768,231
1769,237
1770,237
1771,237
1772,238
1773,238
1774,229
1775,229
1776,239
1777,240
1778,240
1779,240
1780,235
1781,235
1782,236
1783,236
1784,234
1785,234
1786,234
1787,186
1788,186
1789,186
1790,186
1791,186
1792,184
1793,187
1794,187
1795,187
1796,187
1797,185
1798,185
1799,185
1800,184
1801,184
1802,184
1803,185
1804,184
1805,184
1806,184
1807,184
1808,184
1809,184
1810,188
1811,188
1812,189
1813,208
1814,189
1815,190
1816,191
1817,190
1818,191
1819,185
1820,191
1821,185
1822,185
1823,185
1824,185
1825,185
1826,185
1827,160
1828,160
1829,160
1830,160
1831,160
1832,164
1833,161
1834,162
1835,163
1836,163
1837,163
1838,164
1839,164
1840,160
1841,165
1842,165
1843,167
1844,165
1845,159
1846,159
1847,167
1848,167
1849,167
1850,167
1851,159
1852,159
1853,164
1854,166
1855,166
1856,166
1857,163
1858,155
1859,155
1860,155
1861,155
1862,154
1863,154
1864,150
1865,150
1866,150
1867,150
1868,151
1869,151
1870,151
1871,151
1872,158
1873,158
1874,158
1875,156
1876,156
1877,156
1878,156
1879,154
1880,153
1881,153
1882,152
1883,152
1884,152
1885,157
1886,157
1887,156
1888,157
1889,156
1890,153
1891,141
1892,141
1893,141
1894,141
1895,141
1896,146
1897,143
1898,143
1899,145
1900,147
1901,148
1902,148
1903,148
1904,147
1905,144
1906,144
1907,143
1908,142
1909,149
1910,149
1911,149
1912,148
1913,148
1914,149
1915,149
1916,126
1917,125
1918,125
1919,124
1920,123
1921,123
1922,123
1923,123
1924,123
1925,124
1926,124
1927,124
1928,125
1929,125
1930,126
1931,126
1932,126
1933,127
1934,126
1935,128
1936,129
1937,125
1938,124
1939,129
1940,130
1941,129
1942,130
1943,130
1944,130
1945,133
1946,129
1947,129
1948,128
1949,133
1950,133
1951,133
1952,121
1953,132
1954,134
1955,121
1956,121
1957,128
1958,121
1959,127
1960,122
1961,122
1962,122
1963,121
1964,121
1965,121
1966,121
1967,134
1968,135
1969,134
1970,132
1971,131
1972,130
1973,123
1974,123
1975,131
1976,123
1977,131
1978,134
1979,122
1980,136
1981,136
1982,122
1983,136
1984,136
1985,135
1986,134
1987,134
1988,134
1989,134
1990,135
1991,135
1992,140
1993,140
1994,139
1995,138
1996,137
1997,137
1998,138
1999,137
2000,138
2001,139
2002,210
2003,217
2004,216
2005,218
2006,219
2007,222
2008,221
2009,113
2010,113
2011,114
2012,114
2013,114
2014,119
2015,119
2016,120
2017,120
2018,120
2019,120
2020,80
2021,80
2022,80
2023,81
2024,82
2025,86
2026,85
2027,87
2028,242
2029,242
2030,242
2031,242
2032,242
2033,242
2034,242
2035,242
2036,242
2037,242
2038,242
2039,242
2040,242
2041,242
2042,242
2043,242
2044,242
2045,242
2046,242
2047,242
2048,242
2049,242
2050,242
2051,242
2052,242
2053,242
2054,242
2055,242
2056,242
2057,242
2058,242
2059,242
2060,242
2061,242
2062,242
2063,242
2064,242
2065,242
2066,242
2067,242
2068,242
2069,242
2070,242
2071,242
2072,242
2073,242
2074,242
2075,242
2076,242
2077,242
2078,242
2079,242
2080,242
2081,242
2082,242
2083,242
2084,242
2085,242
2086,242
2087,242
2088,242
2089,242
2090,242
2091,242
2092,242
2093,242
2094,242
2095,242
2096,242
2097,242
2098,242
2099,242
2100,242
2101,242
2102,242
2103,242
2104,242
2105,242
2106,242
2107,242
2108,242
2109,242
2110,242
2111,242
2112,242
2113,242
2114,242
2115,242
2116,242
2117,242
2118,242
