TAZ,pop,hh,emp
10049,422.7161862,147.1156974,581.7008617
10050,3813.869285,1345.396781,459.8581136
10051,3385.768179,1229.127923,239.7550849
10052,56.54165548,24.9147552,14.7390421
10053,2269.084175,1087.33758,32.75040003
10054,772.5936626,463.4242263,6592.506661
10055,2485.410401,1387.423759,819.504328
10056,1923.524101,778.7046425,331.2256367
10057,1916.032283,1109.179296,550.8021823
10058,0.936477167,0.949639808,4291.046731
10059,2004.53631,1000.149459,349.8065993
10060,333.8650133,106.7775223,0
10061,1070.252764,414.0595031,1061.211031
10062,1124.10196,507.7864393,116.929734
10063,3695.401055,1297.940104,254.494127
10064,3587.702663,1255.229095,120.8601452
10065,2784.979939,1110.409889,363.5729167
10066,1242.430216,662.0202719,79.00254065
10067,823.8926941,414.0595031,2710.018541
10068,1347.848538,575.1594561,336.9700203
10069,1561.223156,676.667984,483.9931143
10070,4.327714916,1.112940763,425.2838904
10071,2886.585849,1164.136038,15.7512552
10072,2560.925302,1233.138366,1367.495338
10073,564.7667966,241.5081456,574.2048487
10074,1396.769989,781.2844158,306.4335103
10075,4990.937227,2220.316823,1092.564338
10076,2285.033476,1008.324331,339.3679529
10077,1736.49561,812.4467571,937.9156506
10078,3392.928494,1153.006631,196.1747239
10079,3335.586272,1355.56185,582.7964424
10080,2135.727311,814.6726387,806.1778798
